id,label,n,relw,relh,loc,n_other_marker,n_lines,cls
2001.00255_p15c2,,2,0.033,0.002,in,0,3,tight_cluster
2001.01928_p4c1,,10,0.835,0.247,in,1,3,spread
2001.01928_p5c1,r$_{00}$,15,0.839,0.227,in,1,4,spread
2001.04375_p9c1,Top gate,22,0.931,0.516,in,0,2,spread
2001.04375_p9c3,Top gate,9,0.602,0.59,in,0,2,spread
2001.04375_p9c4,,45,0.805,0.609,in,0,1,spread
2001.04375_p9c5,Top gate,22,0.878,0.212,in,0,2,spread
2001.04375_p9c6,Top gate,6,0.597,0.428,in,0,2,spread
2001.04704_p3c1,,19,0.791,0.552,in,1,4,spread
2001.06723_p12c1,0.37nm,546,0.987,0.808,in,1,0,spread
2001.06723_p12c2,0.37nm,22,0.94,0.8,in,0,2,spread
2001.06723_p12c3,0.37nm,14,0.814,0.776,in,0,2,spread
2001.10963_p4c2,,10,0.658,0.791,in,2,13,spread
2001.10963_p5c1,H,2,0.001,0.268,in,1,3,thin_strip
2001.10963_p5c2,H,8,0.471,0.534,in,0,4,spread
2002.00630_p11c1,"N$_{qx, y, z}$ = N$_{kx, y, z}$",19,0.864,0.593,in,2,0,spread
2002.00630_p12c1,"N$_{qx, y, z}$ = N$_{kx, y, z}$",37,0.93,0.945,in,3,0,spread
2002.00630_p13c1,"N$_{qx, y, z}$ = N$_{kx, y, z}$",19,0.864,0.472,in,3,0,spread
2002.01952_p4c1,,34,0.72,0.557,in,6,1,spread
2002.02623_p25c1,,37,0.962,0.872,in,1,0,spread
2002.02623_p25c2,,4,0.75,0.719,in,0,0,spread
2002.02623_p48c3,,8,0.7,0.945,in,0,0,spread
2002.05277_p14c2,,4,0.024,0.092,in,3,2,thin_strip
2002.05277_p14c4,,4,0.024,0.092,in,3,2,thin_strip
2002.05277_p14c6,,4,0.024,0.092,in,3,2,thin_strip
2002.05277_p15c1,,36,0.196,0.27,in,4,5,spread
2002.05277_p16c1,,4,0.024,0.092,in,3,2,thin_strip
2002.05277_p16c5,,4,0.024,0.092,in,3,2,thin_strip
2002.05277_p17c2,,36,0.208,0.289,in,4,5,spread
2003.01096_p4c1,,192,0.959,0.659,in,1,0,spread
2003.03611_p8c10,,9,0.076,0.302,in,0,3,thin_strip
2003.03611_p9c1,,9,0.076,0.302,in,0,3,thin_strip
2003.08470_p10c1,,46,0.89,0.663,in,0,0,spread
2003.09804_p23c2,,29,0.528,0.468,in,1,0,spread
2003.09804_p23c3,,27,0.775,0.84,in,1,0,spread
2003.09804_p23c4,Ag,5,0.743,0.176,in,1,0,spread
2003.09804_p24c1,,10,0.076,0.069,in,0,9,tight_cluster
2003.09804_p25c2,,21,0.883,0.792,in,5,5,spread
2003.09804_p25c3,(GPa),18,0.061,0.508,in,2,0,thin_strip
2003.09804_p32c2,I4/mcm,3,0.4,0.0,in,4,2,thin_strip
2003.09804_p36c1,,4,0.053,0.24,in,1,0,thin_strip
2003.09804_p40c1,Tl-Te,11,0.897,0.265,in,4,0,spread
2003.09966_p3c1,,34,0.879,0.876,in,1,1,spread
2003.09966_p3c2,T$^{2}$ (K$^{2}$),32,0.793,0.882,in,2,1,spread
2003.10049_p11c1,,8,0.629,0.79,in,1,2,spread
2003.10049_p20c1,e,5,0.057,0.101,in,0,2,thin_strip
2003.10049_p37c1,m 2,9,0.201,0.389,in,1,1,spread
2003.10049_p4c2,,5,0.156,0.029,in,0,3,thin_strip
2003.10741_p3c2,,12,0.822,0.631,in,4,7,spread
2003.10741_p3c3,(GPa),27,0.82,0.773,in,1,14,spread
2003.12582_p4c1,,14,0.806,0.261,in,1,8,spread
2003.12582_p4c2,,2,0.044,0.002,in,0,3,tight_cluster
2003.13327_p6c2,,3,0.778,0.51,in,1,1,spread
2003.13327_p6c3,,3,0.111,0.387,in,1,0,spread
2003.13327_p6c4,T=0.004,5,0.333,0.614,in,3,4,spread
2003.13327_p7c2,t’=0.0,8,0.774,0.796,in,1,0,spread
2003.13327_p7c4,t’=0.0,6,0.558,0.176,in,2,0,spread
2003.13327_p7c6,t’=0.0,8,0.774,0.399,in,2,0,spread
2003.13327_p7c8,t’=0.0,8,0.782,0.369,in,2,0,spread
2004.02813_p3c1,,41,0.918,0.431,in,0,2,spread
2004.02813_p4c4,,2,0.033,0.003,in,0,4,tight_cluster
