id,outcome,detail
2309.09190_p7c2,black_gone,old_n=40
2107.14458_p8c2,still_black,10->8
2405.10477_p83c5,still_black,8->8
2007.00819_p11c1,black_gone,old_n=6
2011.06321_p16c22,still_black,4->4
2512.13518_p103c3,black_gone,old_n=27
2012.11311_p5c1,still_black,8->18
2403.07251_p4c1,still_black,6->6(suspect)
2008.04486_p6c4,black_gone,old_n=2
2507.23741_p23c2,black_gone,old_n=35
2204.00842_p5c3,black_gone,old_n=2
2005.14103_p3c1,still_black,24->24
2012.07543_p7c2,still_black,6->8
2410.20845_p11c1,still_black,36->10
2409.01381_p9c1,black_gone,old_n=15
2010.14947_p5c1,black_gone,old_n=12
2207.02006_p5c1,black_gone,old_n=20
2012.10841_p3c1,still_black,9->9
2512.13518_p189c2,black_gone,old_n=20
2409.10530_p9c1,black_gone,old_n=47
2008.06356_p5c3,black_gone,old_n=9
2512.13518_p98c2,black_gone,old_n=10
2105.10877_p24c1,still_black,15->4(suspect)
2205.00251_p5c1,still_black,28->18
2008.10512_p3c1,still_black,6->75
2405.10477_p84c6,still_black,16->13
2007.00819_p18c4,still_black,10->13
2204.08212_p9c2,still_black,28->12
2006.13973_p2c2,still_black,16->16
2512.13518_p204c2,black_gone,old_n=17
2107.01209_p11c1,still_black,38->27
2303.01027_p6c1,still_black,9->9
2409.01381_p9c3,black_gone,old_n=52
2107.08659_p14c4,black_gone,old_n=8
2512.13518_p117c1,black_gone,old_n=24
2104.02142_p2c1,still_black,37->38
2306.08643_p6c1,black_gone,old_n=2
2512.13518_p83c4,black_gone,old_n=15
2111.07705_p6c2,black_gone,old_n=2
2012.14129_p7c2,black_gone,old_n=11
