idx,id,stratum
0,2504.05016_p12c1,spread_big
1,2012.08617_p7c2,spread_big
2,2003.09804_p25c2,spread_big
3,2512.13518_p89c1,spread_big
4,2201.04794_p4c1,spread_big
5,2111.05667_p5c2,spread_big
6,2110.13803_p12c19,spread_big
7,2102.04835_p4c2,spread_big
8,2512.13518_p81c4,spread_big
9,2011.13352_p5c4,spread_big
10,2508.12056_p9c1,spread_big
11,2512.13518_p83c4,spread_big
12,2405.10477_p20c5,thin_strip
13,2008.04156_p7c1,thin_strip
14,2405.10477_p84c6,thin_strip
15,2307.08546_p7c1,thin_strip
16,2003.09804_p25c3,thin_strip
17,2003.03611_p9c1,thin_strip
18,2008.04156_p7c2,thin_strip
19,2107.12019_p4c8,thin_strip
20,2112.09928_p11c5,tight_cluster
21,2401.03617_p4c2,tight_cluster
22,2409.12732_p8c2,tight_cluster
23,2004.02813_p4c4,tight_cluster
24,2405.15696_p6c1,tight_cluster
25,2112.02798_p4c2,tight_cluster
26,2508.14447_p12c1,tight_cluster
27,2502.15899_p16c5,tight_cluster
