dimension,sample_id,corpus,paper,page,chart,verdict,failure_mode,problem,suggested_fix,suggested_module,png
data,materials_2606.05128_page9_chart3,materials,2606.05128,9,page9_chart3,partial,legend_wrong,"Three of four series are labeled '*' with the v=1/3/5/7 inline cluster labels lost, and the x-axis renders as log 1e12-1e13 versus the original linear 0-2.5.",Capture the inline filling-factor labels (v=1,3,5
data,astro_2606.00258_page12_chart2,astro,2606.00258,12,page12_chart2,wrong,miscalib,"The chart is a bar histogram but only three bottom-of-bar points were extracted and they land at y~-3.3 against a 0-40 axis, so values and bar heights are wrong.","Detect bar/histogram glyphs and extract bar heights, and fix y-axis calibration so values fall in the visible data range.",calibrate.py,/network/scratch/s/scieurda/pdf_chart2table/eval150_idx/astro_2606.00258_page12_chart2.png
data,astro_2606.03313_page18_chart17,astro,2606.03313,18,page18_chart17,wrong,miscalib,"Original is a residual/spectrum panel with linear x in 32.350-32.365, but reconstruction uses a log x-axis spanning 10^1-10^2, a nonsensical range.",Fix axis-type and tick-value detection so a linear narrow-range x-axis is not misread as decade-spanning log.,calibrate.py,/network/scratch/s/scieurda/pdf_chart2table/eval150_idx/astro_2606.03313_page18_chart17.png
data,astro_2606.03313_page18_chart25,astro,2606.03313,18,page18_chart25,partial,miscalib,Red Gaussian fit peak was captured well but the x tick labels render as overlapping garbled log-formatted values.,Correct tick-label parsing for the dense numeric x-axis so reconstructed x values and labels are legible and linear.,calibrate.py,/network/scratch/s/scieurda/pdf_chart2table/eval150_idx/astro_2606.03313_page18_chart25.png
data,materials_2606.00681_page4_chart3,materials,2606.00681,4,page4_chart3,partial,miscalib,"The dashed peak-pole offset series belongs to a secondary right axis (0 to -6) but is calibrated against the primary left axis, scrambling its values.",Detect dual y-axes and calibrate the secondary-axis series against the right-axis ticks.,calibrate.py,/network/scratch/s/scieurda/pdf_chart2table/eval150_idx/materials_2606.00681_page4_chart3.png
data,materials_2606.01515_page7_chart6,materials,2606.01515,7,page7_chart6,partial,extra_noise,Stray green and orange off-band points appear top-left and the categorical k-path x-axis is reconstructed as a spurious log scale (6.9e0 to 7.6e0).,Drop off-curve outlier marks and treat non-numeric categorical axis ticks as ordinal positions instead of log values.,calibrate.py,/network/scratch/s/scieurda/pdf_chart2table/eval150_idx/materials_2606.01515_page7_chart6.png
data,materials_2606.03497_page23_chart3,materials,2606.03497,23,page23_chart3,partial,miscalib,"The y-axis was reconstructed as 0.8-0.95 on a log scale whereas the original is linear 80-95, a 100x value error.",Fix y-axis calibration to read linear tick values (80-95) instead of inferring a log scale and scaling by 1/100.,calibrate.py,/network/scratch/s/scieurda/pdf_chart2table/eval150_idx/materials_2606.03497_page23_chart3.png
data,materials_2606.04608_page18_chart1,materials,2606.04608,18,page18_chart1,partial,miscalib,The x-axis is garbled ('.4 x') and the step-function structure collapsed to scattered points spanning only x=0.2-0.6 instead of the full staircase.,Correct x-axis tick parsing for this panel and preserve step-plot ordering so all staircase segments are recovered.,calibrate.py,/network/scratch/s/scieurda/pdf_chart2table/eval150_idx/materials_2606.04608_page18_chart1.png
data,optml_2605.15563_page10_chart7,optml,2605.15563,10,page10_chart7,partial,miscalib,"The original y-axis is logarithmic (10^0 to ~10^-6) but the reconstruction maps values to a linear scale from +50 to -40, so y calibration is wrong.",Detect the log y-axis from tick labels and apply log-space calibration before inverting pixel-to-data mapping.,calibrate.py,/network/scratch/s/scieurda/pdf_chart2table/eval150_idx/optml_2605.15563_page10_chart7.png
data,optml_2605.23761_page22_chart2,optml,2605.23761,22,page22_chart2,partial,miscalib,"The x-axis is reconstructed spanning 0 to 4e10 instead of the original 0 to ~450, a gross x calibration error of about eight orders of magnitude.",Fix x-axis tick-label parsing so plain integer ticks are not misread with an erroneous exponent multiplier.,calibrate.py,/network/scratch/s/scieurda/pdf_chart2table/eval150_idx/optml_2605.23761_page22_chart2.png
data,optml_2606.02886_page7_chart9,optml,2606.02886,7,page7_chart9,partial,miscalib,The re-plot shows a doubled/broken y-axis and stray green points around 2.5-2.6 that are inconsistent with the single calibrated-sigma axis in the source.,Use a single consistent y-calibration and drop the secondary-axis tick contamination producing the stray points.,calibrate.py,/network/scratch/s/scieurda/pdf_chart2table/eval150_idx/optml_2606.02886_page7_chart9.png
data,astro_2606.04810_page12_chart11,astro,2606.04810,12,page12_chart11,wrong,non_chart,Original is a 2D hexbin/colormap heatmap (DALI vs XH); extraction emitted every hex-cell center as a multicolored grid of points.,Detect hexbin/heatmap density plots and skip them rather than digitizing cell centers as a scatter series.,extract.py,/network/scratch/s/scieurda/pdf_chart2table/eval150_idx/astro_2606.04810_page12_chart11.png
data,astro_2606.04810_page12_chart15,astro,2606.04810,12,page12_chart15,wrong,non_chart,Hexbin heatmap (DALI vs SEDflx) was misread as a regular grid of colored scatter points.,Add hexbin/heatmap detection to reject density-map panels before marker extraction.,extract.py,/network/scratch/s/scieurda/pdf_chart2table/eval150_idx/astro_2606.04810_page12_chart15.png
data,astro_2606.04810_page12_chart3,astro,2606.04810,12,page12_chart3,wrong,non_chart,Continuous 2D color-density map was extracted as a meaningless grid of dots.,Recognize smooth/hex colormap fills and skip them instead of sampling a point grid.,extract.py,/network/scratch/s/scieurda/pdf_chart2table/eval150_idx/astro_2606.04810_page12_chart3.png
data,astro_2606.04810_page12_chart7,astro,2606.04810,12,page12_chart7,wrong,non_chart,Hexbin heatmap (GIOTTO vs SEOB) misread as a scatter of colored grid points.,Detect and reject hexbin/heatmap panels prior to marker extraction.,extract.py,/network/scratch/s/scieurda/pdf_chart2table/eval150_idx/astro_2606.04810_page12_chart7.png
