sample_id,verdict,failure_mode
materials_2606.04608_page14_chart5,partial,miscalib
materials_2606.02317_page14_chart2,partial,extra_noise
materials_2606.00165_page6_chart1,correct,
materials_2606.00314_page5_chart1,correct,
materials_2606.04724_page21_chart1,correct,
materials_2606.04608_page30_chart1,correct,
materials_2606.00681_page4_chart3,partial,missing_series
materials_2606.00479_page2_chart1,correct,
materials_2606.03016_page9_chart2,correct,
materials_2606.02317_page11_chart1,partial,legend_wrong
materials_2606.00403_page8_chart9,correct,
materials_2606.01444_page35_chart1,correct,
materials_2606.04919_page21_chart3,partial,extra_noise
materials_2606.04724_page19_chart1,partial,extra_noise
materials_2606.05050_page13_chart1,partial,legend_wrong
materials_2606.00165_page20_chart3,partial,missing_series
materials_2606.03497_page23_chart1,correct,
materials_2606.03405_page6_chart3,correct,
materials_2606.02085_page6_chart1,partial,missing_series
materials_2606.04219_page12_chart1,partial,other
materials_2606.02399_page2_chart2,partial,miscalib
materials_2606.04958_page6_chart2,correct,
materials_2606.00785_page15_chart2,partial,legend_wrong
materials_2606.03405_page10_chart1,partial,extra_noise
materials_2606.03016_page16_chart1,partial,missing_series
materials_2606.00223_page6_chart5,correct,
materials_2606.00403_page8_chart6,correct,
