iteration,timestamp,n_charts,mean_explained,total_residual,total_missed,charts_full,label
1,2026-06-15 00:18,20,0.9596,52,1,8,"baseline: 20 new set (legend-style, pre off_chart fix)"
2,2026-06-15 00:36,20,0.962,50,1,8,iter2: recover dense curve segment near legend (2004.08077 3 series)
3,2026-06-15 00:51,20,0.9644,46,1,8,iter3: legend swatch-side detection (2006.03604 4 labels)
4,2026-06-15 00:57,20,0.9644,46,1,8,iter4: per-page extraction (perf: parse only chart's page) + monitor hardening
5,2026-06-15 01:20,20,0.9677,40,1,9,iter5: keep axis-extreme markers (2005.11717 endpoints)
6,2026-06-15 01:27,20,0.9648,88,1,9,"set5: fresh 20 (baseline, post-4-fixes parser)"
7,2026-06-15 01:36,20,0.9648,88,1,9,set5 iter2: text orientation (2006.14257 diagonal labels)
8,2026-06-15 01:44,20,0.9648,88,1,9,set5 iter3: PNG marker/line proportional scaling
9,2026-06-15 01:50,20,0.9648,88,1,9,set5 iter4: markersize from glyphs (2002.02623 4.86pt)
10,2026-06-15 02:15,20,0.967,96,1,9,set5 iter5: legend abutting-swatch pairing (2002.02623_p23 4 labels)
11,2026-06-15 02:23,20,0.967,96,1,9,set5 iter6: discrete multi-colour series not merged as colormap (2001.01769 5 series)
12,2026-06-15 03:12,20,0.967,96,1,9,set5 iter7: triangle marker orientation v vs ^ (2504.02903)
13,2026-06-15 03:32,20,0.967,96,1,9,set5 iter8: open-marker edge colour (2505.19730 blue not white)
14,2026-06-15 03:58,20,0.967,96,1,9,set5 iter9: NFKC math-alphanumeric unicode labels (2202.11139)
15,2026-06-15 04:10,20,0.967,96,1,9,set5 iter10: closest-cy legend swatch pairing (2502.18732)
16,2026-06-15 04:22,20,0.967,96,1,9,set5 iter11: parse pi-axis ticks (2405.15494 0..2pi)
17,2026-06-15 04:46,20,0.9719,76,1,10,set5 iter12: numeric/year legend labels (2203.00695)
18,2026-06-15 05:01,20,0.9719,76,1,10,set5 iter13: open-marker majority face vote (2503.07760)
19,2026-06-15 10:04,20,0.9794,71,0,12,legend: drop axis-tick numbers as legend entries (2006.03681_p4c3)
20,2026-06-15 10:38,20,0.9794,71,0,12,"legend: drop scattered numeric-token entries when no box (2107.04956; corpus, shared-20 unchanged)"
21,2026-06-15 10:47,20,0.9794,71,0,12,"legend: reject subplot panel tags (a)/(b) (2001.00255_p20c1; corpus, shared-20 unchanged)"
22,2026-06-15 11:02,20,0.9794,71,0,12,"legend: glyph-path leading-symbol recovery wired (2506.23737 mu=; corpus, shared-20 unchanged)"
23,2026-06-15 12:12,20,0.9794,71,0,12,"legend: re-absorb cy-bin-orphaned leading char (2111.05667 kappa/tau; corpus, shared-20 unchanged)"
24,2026-06-15 12:52,20,0.9794,71,0,12,"missed-curve: thin fill-curve not a band (2505.16060 recovers purple; corpus, shared-20 unchanged)"
25,2026-06-15 13:42,20,0.9794,71,0,12,"missed-curve: recover dropped data_curve-roled paths (+grey/band/vertical guards); corpus +28 series/-9 missed over 373, shared-20 unchanged"
26,2026-06-15 17:06,20,0.9794,71,0,12,verify regen: text-label legend leak resolved (2004.04890 clean); glyph-path legend (2002.05277) still leaks
27,2026-06-15 17:54,20,0.9799,49,0,13,"legend fixes #2 font-fit no-grow + #4 phantom-circle drop + #3 spine-not-swatch (2006.04478 leak->fully explained); residual 71->49, full 12->13"
28,2026-06-15 18:03,20,0.9799,49,0,13,"legend #1: keep left-aligned vertical legend past width gate (2005.05829 font 13.83->10.76, no longer oversized)"
29,2026-06-15 18:44,20,0.9799,49,0,13,"error bars: recover per-point y_err + re-draw (2409.10845_p11c3); additive, shared-20 unchanged"
30,2026-06-15 18:55,20,0.9799,49,0,13,"legend entry order = original top-to-bottom (2202.11909 PTE/aI un-swapped); cosmetic, shared-20 unchanged"
31,2026-06-15 19:11,20,0.9799,49,0,13,
32,2026-06-15 19:21,20,0.9799,49,0,13,dash recovery: solid-curve-in-pieces not dashed (2001.06496 blue/orange now solid+complete); shared regen
33,2026-06-15 19:32,20,0.9799,49,0,13,
34,2026-06-15 20:06,20,0.9832,44,0,14,"dropped-segment fix: pool dense curve-segments into a same-colour long curve (2001.06496_p18c2 green middle peaks recovered); corpus over-segmentation down, missed 53->52"
35,2026-06-15 20:47,40,0.9787,99,2,23,
36,2026-06-15 22:40,20,0.9743,55,2,9,
37,2026-06-15 22:45,20,0.9743,55,2,9,
38,2026-06-15 22:51,20,0.9743,55,2,9,
39,2026-06-15 23:03,20,0.9743,55,2,9,
40,2026-06-15 23:56,20,0.9743,55,2,9,
41,2026-06-16 00:09,20,0.9743,55,2,9,
42,2026-06-16 00:13,20,0.9743,55,2,9,
43,2026-06-16 00:25,20,0.9743,55,2,9,
44,2026-06-16 01:44,20,0.9743,55,2,9,
45,2026-06-16 20:53,20,0.9743,55,2,9,
46,2026-06-16 21:03,20,0.9743,55,2,9,
47,2026-06-16 21:30,20,0.9743,55,2,9,
48,2026-06-16 21:45,20,0.9743,55,2,9,
49,2026-06-16 22:10,20,0.9743,55,2,9,
50,2026-06-16 22:21,20,0.9743,55,2,9,
51,2026-06-16 23:08,20,0.9743,55,2,9,
52,2026-06-16 23:25,20,0.9743,55,2,9,
53,2026-06-16 23:39,20,0.9743,55,2,9,
54,2026-06-17 00:01,20,0.9743,55,2,9,
55,2026-06-17 00:10,20,0.9743,55,2,9,
56,2026-06-17 00:31,20,0.9743,55,2,9,
57,2026-06-17 00:45,20,0.9743,55,2,9,
58,2026-06-17 00:55,20,0.9743,55,2,9,
59,2026-06-17 01:50,20,0.9743,55,2,9,
60,2026-06-17 01:59,20,0.9752,54,2,9,
61,2026-06-17 02:14,20,0.9752,54,2,9,
