id,tags
2001.01801_p26c4,unexplained
2001.04375_p26c4,x:dynamic_range
2001.04375_p26c7,x:dynamic_range
2001.04375_p6c2,x:dynamic_range
2001.06104_p6c1,unexplained
2001.07029_p9c1,y:dynamic_range
2001.07556_p3c1,y:dynamic_range
2001.07556_p3c2,y:dynamic_range
2001.07556_p6c3,unexplained
2001.10963_p3c6,y:dynamic_range
2002.02623_p55c2,unexplained
2003.07592_p8c1,unexplained
2003.07592_p8c2,unexplained
2003.09804_p41c1,x:dynamic_range
2003.14298_p11c1,x:tick_inconsistent
2004.01004_p6c3,y:dynamic_range
2004.06765_p10c1,unexplained
2004.06765_p10c2,unexplained
2004.06765_p10c3,unexplained
2004.06765_p10c4,unexplained
2004.06765_p10c5,y:dynamic_range
2004.06765_p10c6,unexplained
2004.06773_p13c3,unexplained
2004.06773_p13c4,unexplained
2004.09445_p2c1,x:dynamic_range
2005.10210_p45c1,x:dynamic_range
2005.11717_p10c1,unexplained
2005.11717_p10c3,unexplained
2006.03604_p4c2,x:dynamic_range
2006.09651_p8c2,unexplained
2006.10440_p9c5,unexplained
2007.10051_p4c3,x:dynamic_range
2007.15313_p25c1,x:dynamic_range
2007.15313_p27c2,x:dynamic_range
2008.02726_p3c1,y:dynamic_range;y:tick_inconsistent
2008.04375_p4c2,x:dynamic_range
2008.08722_p13c3,y:tick_inconsistent
2008.08722_p6c2,unexplained
2008.09734_p24c19,unexplained
2008.09734_p25c5,unexplained
2008.09734_p26c6,x:off_tick_range;x:tick_inconsistent
2008.11361_p4c1,x:dynamic_range
2008.11361_p5c1,x:dynamic_range
2008.11361_p6c1,x:dynamic_range
2008.11838_p14c3,y:dynamic_range
2008.12319_p14c1,unexplained
2009.04163_p6c3,unexplained
2009.04163_p6c4,unexplained
2009.07658_p27c1,x:dynamic_range
2009.07658_p27c2,x:dynamic_range
2009.08714_p3c3,unexplained
2009.08714_p3c4,unexplained
2009.10463_p10c1,y:dynamic_range
2010.00751_p8c1,unexplained
2010.00874_p7c2,y:dynamic_range
2010.14886_p35c1,y:dynamic_range
2011.01699_p12c2,x:dynamic_range
2011.06477_p16c4,unexplained
2011.06477_p17c2,unexplained
2011.06477_p27c2,unexplained
2011.09442_p3c1,x:dynamic_range
2011.09442_p3c2,x:dynamic_range;y:dynamic_range
2011.14588_p8c1,x:dynamic_range
2012.04789_p12c1,unexplained
2012.11311_p9c1,x:dynamic_range
2012.12136_p14c1,x:dynamic_range
2012.12904_p11c1,x:dynamic_range
2012.15114_p20c1,unexplained
2012.15350_p17c1,y:dynamic_range
2012.15350_p27c1,y:dynamic_range
2101.05551_p17c1,x:dynamic_range
2101.07194_p14c1,x:dynamic_range;y:tick_inconsistent
2102.03563_p7c1,x:dynamic_range
2102.03563_p7c2,x:dynamic_range
2102.03563_p7c3,x:dynamic_range
2102.03563_p7c4,x:dynamic_range
2102.03563_p9c1,x:dynamic_range
2102.03563_p9c2,x:dynamic_range
2102.03563_p9c3,x:dynamic_range
2102.03563_p9c4,x:dynamic_range
2102.03563_p9c5,x:dynamic_range
2102.03563_p9c6,x:dynamic_range
